"site","taxa_list"
"AB","A.glacialis, A.ostenfeldii, Asteromphalus, C.affinis, C.cf.compressus, C.closterium, C.contortus, C.curvistus, C.debilis, C.decipiens, C.densus, C.diadema, C.didymus, C.lauderi, C.pelagica, C.peruvianus, C.protuberans, C.radicans, C.simplex, centric, Cerataulina, Chaetoceros, Chaetognath, Copepod nauplii, Corethron, D.brightwellii, D.lenticula, D.pumila, D.tripos, Detonula, Dictyocha, Dinoflagellate, Dinophysis, Ditylum, E.turris, E.zondicus, Eucampia, Flagellate, G.polyedra, G.spirale, Guinardia, Helicotheca, L.danicus, L.minimus, Leptocylindrus, Odontella, P.claudicans, P.denticulatum, P.horologium, P.nitzschia, P.ovatum, P.pallidum, Pennate, Pleurosigma, Prorocentrum, Protoperidinium, Rhizosolenia, S.palmeriana, Scrippsiella, Silicoflagellate, Skeletonema, Stephanopyxis, T.anguste-lineata, T.constricta, T.frauenfeldii, T.furca, T.fusus, T.lineatum, T.macroceros, T.rotula, Thalassionema, Thalassiosira, Tintinnid, Tripos, Zooplankton"
"SHB","Actinocyclus, Alexandrium, Asterionellopsis, C.cf.compressus, C.closterium, C.diadema, C.didymus, C.wailesii, centric, Chaetoceros, Copepod nauplii, Corethron, Coscinodiscus, D.lenticula, D.norvegica, Dinoflagellate, Dinophysis, E.turris, Flagellate, G.undulans, Gymnodinium, Hemiaulus, L.minimus, Leptocylindrus, M.rubrum, N.scintillans, P.bipes, P.claudicans, P.conicum, P.decipiens, P.denticulatum, P.depressum, P.divergens, P.nitzschia, P.ovatum, P.pallidum, P.pyriforme, P.reticulatum, Pennate, Prorocentrum, Protoperidinium, Pyrophacus, Rhizosolenia, Scrippsiella, Silicoflagellate, Stephanopyxis, T.anguste-lineata, T.constricta, T.furca, T.horridum, T.lineatum, T.rotula, T.tripos, Thalassionema, Thalassiosira, Tintinnid, Tripos, Zooplankton"
"WB","Asterionellopsis, Biddulphia, C.cf.compressus, C.closterium, C.curvistus, C.danicus, C.debilis, C.decipiens, C.densus, C.diadema, C.didymus, C.lauderi, C.radicans, C.simplex, C.socialis, C.wailesii, centric, Chaetoceros, Copepod nauplii, Coscinodiscus, Cyst, D.brightwellii, D.fragilissimus, Detonula, Dictyocha, Dinoflagellate, Ditylum, E.turris, Eucampia, Flagellate, G.spirale, Guinardia, Hemiaulus, Heterocapsa, L.danicus, L.minimus, L.undulatum, Leptocylindrus, Lithodesmium, M.rubrum, N.scintillans, Odontella, P.bipes, P.claudicans, P.depressum, P.divergens, P.nitzschia, P.ovatum, P.pallidum, Pennate, Probosica, Prorocentrum, Protoperidinium, Pyrophacus, Rhizosolenia, Scrippsiella, Skeletonema, T.anguste-lineata, T.constricta, T.furca, T.horridum, T.rotula, Thalassionema, Thalassiosira, Tintinnid, Tripos, Zooplankton"
